title,company,location,date,url
"Data Scientist I, Marketing Analytics",Tinder,"West Hollywood, CA",3 days ago,https://www.linkedin.com/jobs/view/data-scientist-i-marketing-analytics-at-tinder-3966714827?position=1&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=gRbrbs3hl0d%2Fk4pGHmlz7w%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientist,Glo,"San Francisco, CA",5 days ago,https://www.linkedin.com/jobs/view/data-scientist-at-glo-3965107368?position=2&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=gJ%2BQsQur3V%2BS%2FHKzD2B3Qw%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientist (L5) - Content & Marketing DSE,Netflix,"Los Angeles, CA",1 week ago,https://www.linkedin.com/jobs/view/data-scientist-l5-content-marketing-dse-at-netflix-3962464409?position=3&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=UaRuSp6haCD7UVacyymUGQ%3D%3D&trk;=public_jobs_jserp-result_search-card
"Data Scientist, Product",Notion,"San Francisco, CA",1 week ago,https://www.linkedin.com/jobs/view/data-scientist-product-at-notion-3960929693?position=4&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=AOe6YPYgxMu6VNIRbpWo0A%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientist,Flock Freight,"Encinitas, CA",4 days ago,https://www.linkedin.com/jobs/view/data-scientist-at-flock-freight-3965543938?position=5&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=HwDWWPwmCEW2GbLmVxemog%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientist,Analytica,"Washington, DC",1 week ago,https://www.linkedin.com/jobs/view/data-scientist-at-analytica-3959507445?position=6&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=Z5NhzUM2sPpyF3AntFEjCw%3D%3D&trk;=public_jobs_jserp-result_search-card
"Staff Data Scientist, Strategy & Insights",LinkedIn,"Sunnyvale, CA",1 week ago,https://www.linkedin.com/jobs/view/staff-data-scientist-strategy-insights-at-linkedin-3959932300?position=7&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=s9xsOOL1U%2BU4Guq%2BlWu%2BTw%3D%3D&trk;=public_jobs_jserp-result_search-card
Junior Data Scientist,Team Remotely Inc,"Portland, OR",8 hours ago,https://www.linkedin.com/jobs/view/junior-data-scientist-at-team-remotely-inc-3969424514?position=8&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=%2Fzcup1wqQ%2BWiICS5iQwyuQ%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientists,DigiTran Technologies Inc.,United States,4 days ago,https://www.linkedin.com/jobs/view/data-scientists-at-digitran-technologies-inc-3964609741?position=9&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=zreODzMy33YGNIV9%2BKClOg%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientist,Carrot Fertility,United States,5 days ago,https://www.linkedin.com/jobs/view/data-scientist-at-carrot-fertility-3964835909?position=10&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=xMfltnCKOvXqABQTHsXtjw%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientist (Direct Hire),NASA - National Aeronautics and Space Administration,"California, United States",1 week ago,https://www.linkedin.com/jobs/view/data-scientist-direct-hire-at-nasa-national-aeronautics-and-space-administration-3961269505?position=12&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=BzX7o229nZF5gFuLXMtUJA%3D%3D&trk;=public_jobs_jserp-result_search-card
Data Scientist (Direct Hire),NASA - National Aeronautics and Space Administration,"California, United States",1 week ago,https://www.linkedin.com/jobs/view/data-scientist-direct-hire-at-nasa-national-aeronautics-and-space-administration-3961267666?position=13&pageNum;=0&refId;=QFFzjDlJ%2F2xpywJzvTlTGQ%3D%3D&trackingId;=aQrFN19o6HzFcr2nM0IvoQ%3D%3D&trk;=public_jobs_jserp-result_search-card
,,,,
